"ASSESSMENT_UNIT_ID","PARAM_NAME","ACTION_ID","ACTION_TYPE","OWRD_Basin"
"OR_SR_1710020304_05_105901","TEMPERATURE",1380,"TMDL","North Coast"
"OR_SR_1710020304_05_105903","TEMPERATURE",1380,"TMDL","North Coast"
"OR_SR_1710020305_05_105906","TEMPERATURE",1380,"TMDL","North Coast"
"OR_SR_1710020305_05_105908","TEMPERATURE",1380,"TMDL","North Coast"
"OR_SR_1710020305_05_105917","TEMPERATURE",1380,"TMDL","North Coast"
"OR_SR_1710020305_05_105921","TEMPERATURE",1380,"TMDL","North Coast"
"OR_SR_1710020305_05_106214","TEMPERATURE",1380,"TMDL","North Coast"
"OR_SR_1710020306_05_105924","TEMPERATURE",1380,"TMDL","North Coast"
"OR_SR_1710020306_05_105929","TEMPERATURE",1380,"TMDL","North Coast"
"OR_SR_1710020307_05_105939","TEMPERATURE",1380,"TMDL","North Coast"
"OR_SR_1710020309_05_105945","TEMPERATURE",2238,"TMDL","North Coast"
"OR_WS_170800030405_05_103656","TEMPERATURE",9447,"TMDL","North Coast"
"OR_WS_170800030406_05_103657","ESCHERICHIA COLI (E. COLI)",9447,"TMDL","North Coast"
"OR_WS_170800030406_05_103657","TEMPERATURE",9447,"TMDL","North Coast"
"OR_WS_170800030502_05_103659","TEMPERATURE",9447,"TMDL","North Coast"
"OR_WS_170800030503_05_103660","TEMPERATURE",9447,"TMDL","North Coast"
"OR_WS_170800060207_05_103708","ESCHERICHIA COLI (E. COLI)",9447,"TMDL","North Coast"
"OR_WS_171002010102_05_106084","ESCHERICHIA COLI (E. COLI)",9447,"TMDL","North Coast"
"OR_WS_171002010103_05_106209","TEMPERATURE",9447,"TMDL","North Coast"
"OR_WS_171002010105_05_106216","ESCHERICHIA COLI (E. COLI)",9447,"TMDL","North Coast"
"OR_WS_171002020101_05_106443","TEMPERATURE",9447,"TMDL","North Coast"
"OR_WS_171002030101_05_106099","TEMPERATURE",2238,"TMDL","North Coast"
"OR_WS_171002030201_05_106100","TEMPERATURE",2238,"TMDL","North Coast"
"OR_WS_171002030206_05_106105","DISSOLVED OXYGEN",2238,"TMDL","North Coast"
"OR_WS_171002030206_05_106105","TEMPERATURE",2238,"TMDL","North Coast"
"OR_WS_171002030406_05_106217","TEMPERATURE",1380,"TMDL","North Coast"
"OR_WS_171002030504_05_106117","TEMPERATURE",1380,"TMDL","North Coast"
"OR_WS_171002030901_05_106190","DISSOLVED OXYGEN",2238,"TMDL","North Coast"
"OR_WS_171002030902_05_106219","DISSOLVED OXYGEN",2238,"TMDL","North Coast"
"OR_WS_171002030902_05_106219","TEMPERATURE",1380,"TMDL","North Coast"
"OR_WS_171002030902_05_106219","TEMPERATURE",2238,"TMDL","North Coast"
"OR_WS_171002030903_05_106125","DISSOLVED OXYGEN",2238,"TMDL","North Coast"
"OR_SR_1705010311_02_102702","TEMPERATURE",10007,"TMDL","Owyhee"
"OR_WS_170501100705_05_102964","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Owyhee"
"OR_WS_170501100706_05_102965","DISSOLVED OXYGEN",39782,"TMDL","Owyhee"
"OR_WS_170501100706_05_102965","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Owyhee"
"OR_SR_1705020106_05_102793","DISSOLVED OXYGEN",10791,"TMDL","Powder"
"OR_SR_1705020106_05_102793","TEMPERATURE",10007,"TMDL","Powder"
"OR_WS_170502020302_05_103124","DISSOLVED OXYGEN",39782,"TMDL","Powder"
"OR_WS_170502020806_05_103147","DISSOLVED OXYGEN",39782,"TMDL","Powder"
"OR_EB_1710031008_01_100280","ESCHERICHIA COLI (E. COLI)",35887,"TMDL","Rogue"
"OR_LK_1710030703_02_100244","ESCHERICHIA COLI (E. COLI)",35887,"TMDL","Rogue"
"OR_LK_1710030708_02_100250","ESCHERICHIA COLI (E. COLI)",35887,"TMDL","Rogue"
"OR_LK_1710030801_02_100257","ESCHERICHIA COLI (E. COLI)",33829,"TMDL","Rogue"
"OR_LK_1710030801_02_100257","PH",33829,"TMDL","Rogue"
"OR_LK_1710030801_02_100257","PH",2035,"TMDL","Rogue"
"OR_SR_1710030707_04_105507","ESCHERICHIA COLI (E. COLI)",35887,"TMDL","Rogue"
"OR_SR_1710030708_02_105509","ESCHERICHIA COLI (E. COLI)",35887,"TMDL","Rogue"
"OR_SR_1710030708_02_105510","ESCHERICHIA COLI (E. COLI)",35887,"TMDL","Rogue"
"OR_SR_1710030708_02_105511","ESCHERICHIA COLI (E. COLI)",35887,"TMDL","Rogue"
"OR_SR_1710030708_02_105514","ESCHERICHIA COLI (E. COLI)",35887,"TMDL","Rogue"
"OR_SR_1710030708_02_105521","ESCHERICHIA COLI (E. COLI)",35887,"TMDL","Rogue"
"OR_SR_1710030708_02_105522","ESCHERICHIA COLI (E. COLI)",35887,"TMDL","Rogue"
"OR_SR_1710030801_02_105532","DISSOLVED OXYGEN",33829,"TMDL","Rogue"
"OR_SR_1710030801_02_105532","DISSOLVED OXYGEN",2035,"TMDL","Rogue"
"OR_SR_1710030801_02_105532","ESCHERICHIA COLI (E. COLI)",33829,"TMDL","Rogue"
"OR_SR_1710030801_02_105532","PH",33829,"TMDL","Rogue"
"OR_SR_1710030801_02_105532","PH",2035,"TMDL","Rogue"
"OR_SR_1710030801_02_105534","DISSOLVED OXYGEN",33829,"TMDL","Rogue"
"OR_SR_1710030801_02_105534","DISSOLVED OXYGEN",2035,"TMDL","Rogue"
"OR_SR_1710030801_02_105534","ESCHERICHIA COLI (E. COLI)",33829,"TMDL","Rogue"
"OR_SR_1710030801_02_105534","PH",33829,"TMDL","Rogue"
"OR_SR_1710030801_02_105534","PH",2035,"TMDL","Rogue"
"OR_SR_1710030801_02_105536","ESCHERICHIA COLI (E. COLI)",33829,"TMDL","Rogue"
"OR_SR_1710030801_02_105536","PH",33829,"TMDL","Rogue"
"OR_SR_1710030801_02_105536","PH",2035,"TMDL","Rogue"
"OR_SR_1710030801_02_105538","DISSOLVED OXYGEN",33829,"TMDL","Rogue"
"OR_SR_1710030801_02_105538","DISSOLVED OXYGEN",2035,"TMDL","Rogue"
"OR_SR_1710030801_02_105538","ESCHERICHIA COLI (E. COLI)",33829,"TMDL","Rogue"
"OR_SR_1710030801_02_105538","PH",33829,"TMDL","Rogue"
"OR_SR_1710030801_02_105538","PH",2035,"TMDL","Rogue"
"OR_SR_1710030801_02_105544","DISSOLVED OXYGEN",33829,"TMDL","Rogue"
"OR_SR_1710030801_02_105544","DISSOLVED OXYGEN",2035,"TMDL","Rogue"
"OR_SR_1710030801_02_105544","ESCHERICHIA COLI (E. COLI)",33829,"TMDL","Rogue"
"OR_SR_1710030801_02_105544","PH",33829,"TMDL","Rogue"
"OR_SR_1710030801_02_105544","PH",2035,"TMDL","Rogue"
"OR_SR_1710030801_02_105545","ESCHERICHIA COLI (E. COLI)",33829,"TMDL","Rogue"
"OR_SR_1710030801_02_105545","PH",33829,"TMDL","Rogue"
"OR_SR_1710030801_02_105545","PH",2035,"TMDL","Rogue"
"OR_SR_1710030801_02_105548","DISSOLVED OXYGEN",33829,"TMDL","Rogue"
"OR_SR_1710030801_02_105548","DISSOLVED OXYGEN",2035,"TMDL","Rogue"
"OR_SR_1710030801_02_105548","ESCHERICHIA COLI (E. COLI)",33829,"TMDL","Rogue"
"OR_SR_1710030801_02_105548","PH",33829,"TMDL","Rogue"
"OR_SR_1710030801_02_105548","PH",2035,"TMDL","Rogue"
"OR_SR_1710030801_02_105550","ESCHERICHIA COLI (E. COLI)",33829,"TMDL","Rogue"
"OR_SR_1710030801_02_105550","PH",33829,"TMDL","Rogue"
"OR_SR_1710030801_02_105550","PH",2035,"TMDL","Rogue"
"OR_SR_1710030801_02_105823","DISSOLVED OXYGEN",33829,"TMDL","Rogue"
"OR_SR_1710030801_02_105823","DISSOLVED OXYGEN",2035,"TMDL","Rogue"
"OR_SR_1710030801_02_105823","ESCHERICHIA COLI (E. COLI)",33829,"TMDL","Rogue"
