ASSESSMENT_UNIT_ID,PARAM_NAME,Pollu_ID,ACTION_ID,Pollutant_DEQ.WQS,OWRD_Basin
OR_WS_170601050108_02_103490,FECAL COLIFORM,86,39294,Fecal Coliform,NA
OR_WS_170701030203_02_101887,"SEDIMENT
",172,1362,Sedimentation,NA
OR_LK_1707010505_02_100017,TEMPERATURE,132,OR_TMDL_20180216,Temperature,NA
OR_LK_1707010512_88_100134,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",Columbia River
OR_LK_1707010512_88_100134,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",Hood
OR_SR_1707010505_02_101508,TEMPERATURE,132,OR_TMDL_20180216,Temperature,Hood
OR_SR_1707010505_02_101509,TEMPERATURE,132,OR_TMDL_20180216,Temperature,Hood
OR_SR_1707010506_02_101511,TEMPERATURE,132,OR_TMDL_20180216,Temperature,Hood
OR_SR_1707010507_02_101512,TEMPERATURE,132,OR_TMDL_20180216,Temperature,Hood
OR_SR_1707010512_02_101514,TEMPERATURE,132,OR_TMDL_20180216,Temperature,Hood
OR_WS_170701050501_02_101996,TEMPERATURE,132,OR_TMDL_20180216,Temperature,Hood
OR_WS_170701050502_02_101997,TEMPERATURE,132,OR_TMDL_20180216,Temperature,Hood
OR_WS_170701050503_02_101998,TEMPERATURE,132,OR_TMDL_20180216,Temperature,Hood
OR_WS_170701050504_02_101999,TEMPERATURE,132,OR_TMDL_20180216,Temperature,Hood
OR_WS_170701050505_02_102000,TEMPERATURE,132,OR_TMDL_20180216,Temperature,Hood
OR_WS_170701050601_02_102002,TEMPERATURE,132,OR_TMDL_20180216,Temperature,Hood
OR_WS_170701050602_02_102003,TEMPERATURE,132,OR_TMDL_20180216,Temperature,Hood
OR_WS_170701050701_02_102005,TEMPERATURE,132,OR_TMDL_20180216,Temperature,Hood
OR_WS_170701050703_02_102007,TEMPERATURE,132,OR_TMDL_20180216,Temperature,Hood
OR_WS_170701051106_02_102614,TEMPERATURE,132,OR_TMDL_20180216,Temperature,Hood
OR_LK_1707010114_88_100140,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",Columbia River
OR_LK_1707010114_88_100140,TOTAL DISSOLVED GAS,155,3753,Total Dissolved gas,Columbia River
OR_LK_1707010114_88_100141,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",Columbia River
OR_LK_1707010114_88_100142,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",Columbia River
OR_LK_1707020207_05_100032,DISSOLVED OXYGEN,154,39753,Dissolved Oxygen,NA
OR_LK_1707020208_05_100033,DISSOLVED OXYGEN,154,39753,Dissolved Oxygen,NA
OR_SR_1707020104_05_101527,DISSOLVED OXYGEN,154,39753,Dissolved Oxygen,John Day
OR_SR_1707020104_05_101527,ESCHERICHIA COLI (E. COLI),76,39753,E. coli,John Day
OR_SR_1707020107_05_101537,DISSOLVED OXYGEN,154,39753,Dissolved Oxygen,John Day
OR_SR_1707020109_05_101547,DISSOLVED OXYGEN,154,39753,Dissolved Oxygen,John Day
OR_SR_1707020109_05_101547,ESCHERICHIA COLI (E. COLI),76,39753,E. coli,John Day
OR_SR_1707020110_05_101552,DISSOLVED OXYGEN,154,39753,Dissolved Oxygen,John Day
OR_SR_1707020110_05_101552,ESCHERICHIA COLI (E. COLI),76,39753,E. coli,John Day
OR_SR_1707020111_05_102568,DISSOLVED OXYGEN,154,39753,Dissolved Oxygen,John Day
OR_SR_1707020202_05_101571,DISSOLVED OXYGEN,154,39753,Dissolved Oxygen,John Day
OR_SR_1707020203_05_101574,DISSOLVED OXYGEN,154,39753,Dissolved Oxygen,John Day
OR_SR_1707020207_05_101592,DISSOLVED OXYGEN,154,39753,Dissolved Oxygen,John Day
OR_SR_1707020207_05_101594,DISSOLVED OXYGEN,154,39753,Dissolved Oxygen,NA
