"MLocID","StationDes","Lat_DD","Long_DD","AU_ID","MonLocType","Period","OWRD_Basin","data_period_start","data_period_end","IR_category","total_violations","max_violations_3yr","max_3yr_results_in_crit_period","total_spawn_violations","max_spawn_violations_3yr"
"39447-ORDEQ","Flat Cr at Ferguson Rd (RM 6.7)",44.25325453,-123.24169958,"OR_WS_170900030603_02_104290","River/Stream","Year round","Willamette",2017-05-30,2017-11-13,"Cat5",2,2,0,NA,NA
"39448-ORDEQ","Flat Cr at 99W (RM 5.2)",44.27001686,-123.23467836,"OR_WS_170900030603_02_104290","River/Stream","Year round","Willamette",2017-05-28,2017-11-13,"Cat5",4,4,0,NA,NA
"39449-ORDEQ","Flat Cr at Old River Rd (RM 2.5)",44.29550613,-123.23882777,"OR_WS_170900030603_02_104290","River/Stream","Year round","Willamette",2017-05-28,2017-11-13,"Cat5",4,4,0,NA,NA
"39450-ORDEQ","Flat Cr at Cox Butte Rd (RM 8.0)",44.23699754,-123.23511751,"OR_WS_170900030603_02_104290","River/Stream","Year round","Willamette",2017-11-05,2017-11-13,"Cat3",0,0,0,NA,NA
"40026-ORDEQ","Edson Creek US BPA  Access",42.49528358,-124.38870507,"OR_WS_171003100803_02_104698","River/Stream","Year round","Rogue",2016-06-28,2016-09-26,"Cat2",0,0,88,NA,NA
"40041-ORDEQ","South Fork Bear CK at USFS Boundry",43.90269975,-123.96830314,"OR_WS_171002070102_02_106386","River/Stream","Year round","Mid Coast",2017-07-26,2017-10-09,"Cat2",0,0,67,NA,NA
"40044-ORDEQ","Lower Grant Creek at Maple Creek Rd crossing",43.92749252,-124.02160268,"OR_WS_171002070101_02_106385","River/Stream","Year round","Mid Coast",2017-07-31,2017-10-09,"Cat2",0,0,62,NA,NA
"40046-ORDEQ","Upper Grant Ck 0.4 miles US Maple Ck Rd crossing",43.93240071,-124.02550242,"OR_WS_171002070101_02_106385","River/Stream","Year round","Mid Coast",2017-07-31,2017-10-09,"Cat2",0,0,62,NA,NA
"40049-ORDEQ","Upper Billy Moore Ck at BLM boundary",43.88290056,-123.9734995,"OR_WS_171002070102_02_106386","River/Stream","Year round","Mid Coast",2017-07-19,2017-10-03,"Cat2",0,0,74,NA,NA
"40052-ORDEQ","Lower Billy Moore Ck 47 Meters US Fiddle Creek Confluence",43.87279142,-123.97720805,"OR_WS_171002070102_02_106386","River/Stream","Year round","Mid Coast",2017-07-05,2017-10-03,"Cat2",0,0,88,NA,NA
"40060-ORDEQ","Morton CR US BPA Lines",42.94372674,-124.42485698,"OR_WS_171003060104_02_106331","River/Stream","Year round","South Coast",2017-08-14,2017-09-14,"Cat5",11,11,32,NA,NA
"40061-ORDEQ","Morton CK at RM 0.83",42.94890055,-124.4504,"OR_WS_171003060104_02_106331","River/Stream","Year round","South Coast",2008-07-05,2017-08-16,"Cat5",12,8,88,NA,NA
"40062-ORDEQ","Morton CK 845 Meters US of confluence with Butte CK",42.95286881,-124.45698238,"OR_WS_171003060104_02_106331","River/Stream","Year round","South Coast",2017-08-14,2017-09-14,"Cat2",0,0,32,NA,NA
"40083-ORDEQ","North Langlois Creek  227 meters US of bridge",42.9361126,-124.45883974,"OR_WS_171003060104_02_106331","River/Stream","Year round","South Coast",2008-07-10,2008-10-18,"Cat2",0,0,83,NA,NA
"40084-ORDEQ","Morton Creek at RM 2.03",42.94992846,-124.45076728,"OR_WS_171003060104_02_106331","River/Stream","Year round","South Coast",2008-07-05,2008-10-02,"Cat3B",1,1,88,NA,NA
"40085-ORDEQ","Butte CK 0.60 Miles DS of HWY 101",42.95607559,-124.44710905,"OR_WS_171003060104_02_106331","River/Stream","Year round","South Coast",2008-07-10,2008-10-02,"Cat5",2,2,52,NA,NA
"40086-ORDEQ","Butte CK at Mill CK ",42.95565942,-124.44938893,"OR_WS_171003060104_02_106331","River/Stream","Year round","South Coast",2008-07-10,2008-10-02,"Cat5",13,13,83,NA,NA
"40087-ORDEQ","Ferguson Creek SFK at RM 0.48",44.24630223,-123.37860292,"OR_WS_170900030110_02_104252","River/Stream","Year round","Willamette",2017-07-20,2017-10-23,"Cat2",0,0,73,NA,NA
"40091-ORDEQ","Owen's CK 0.3 miles US of Turnbow CK confluence",44.21318338,-123.34069464,"OR_WS_170900030109_02_104251","River/Stream","Year round","Willamette",2017-07-24,2017-10-26,"Cat5",23,23,69,NA,NA
"40092-ORDEQ","Owens Ck US of Bear CK confluence",44.19439912,-123.30720134,"OR_WS_170900030109_02_104251","River/Stream","Year round","Willamette",2017-07-24,2017-10-26,"Cat5",9,9,18,NA,NA
