OBJECTID,AU_ID,AU_Name,AU_WBType,AU_UseCode,AU_LenMile,AU_AreaAcr,HUC12,AQWMS_NUM,AQWMS_TXT
6792,OR_WS_180102041201_05_107131,Klamath Falls-Klamath River,460,5,191.4180964,0,1.80102E+11,107131,107131
6793,OR_WS_180102041202_00_107132,Keno Reservoir-Klamath River,460,5,0.661792655,0,1.80102E+11,107132,107132
6794,OR_WS_180102041202_05_107133,Keno Reservoir-Klamath River,460,5,121.1887756,0,1.80102E+11,107133,107133
6795,OR_WS_180102041403_05_107134,Klamath Strait Drain,460,5,238.1607275,0,1.80102E+11,107134,107134
6796,OR_WS_180102041404_05_107135,Lake Miller,460,5,64.31646147,0,1.80102E+11,107135,107135
6797,OR_WS_180102050301_05_107176,Modac Gulch-Butte Valley,460,5,10.44694686,0,1.80102E+11,107176,107176
6798,OR_WS_180102050302_05_107175,Pleasant Valley,460,5,28.27028878,0,1.80102E+11,107175,107175
6799,OR_WS_180102060101_05_107136,Buck Lake,460,5,59.95343258,0,1.80102E+11,107136,107136
6800,OR_WS_180102060102_05_107137,Upper Spencer Creek,460,5,25.42707655,0,1.80102E+11,107137,107137
6801,OR_WS_180102060103_05_107138,Clover Creek,460,5,38.67628284,0,1.80102E+11,107138,107138
6802,OR_WS_180102060104_05_107139,Lower Spencer Creek,460,5,38.85114064,0,1.80102E+11,107139,107139
6803,OR_WS_180102060201_05_107140,John C Boyle Reservoir,460,5,70.92395403,0,1.80102E+11,107140,107140
6804,OR_WS_180102060202_05_107141,Big Bend-Klamath River,460,5,52.29574446,0,1.80102E+11,107141,107141
6805,OR_WS_180102060203_05_107142,Hayden Creek,460,5,54.75571268,0,1.80102E+11,107142,107142
6806,OR_WS_180102060204_05_107174,Rock Creek-Klamath River,460,5,54.98595989,0,1.80102E+11,107174,107174
6807,OR_WS_180102060302_05_107164,Long Prairie Creek,460,5,78.24140068,0,1.80102E+11,107164,107164
6808,OR_WS_180102060303_05_107163,Deer Creek-Klamath River,460,5,13.8451123,0,1.80102E+11,107163,107163
6809,OR_WS_180102060401_05_107143,Upper Jenny Creek,460,5,122.7999456,0,1.80102E+11,107143,107143
6810,OR_WS_180102060402_05_107144,Sheepy Creek,460,5,38.01507393,0,1.80102E+11,107144,107144
6811,OR_WS_180102060403_05_107145,Johnson Creek,460,5,89.90909322,0,1.80102E+11,107145,107145
6812,OR_WS_180102060404_05_107146,Middle Jenny Creek,460,5,129.5548036,0,1.80102E+11,107146,107146
6813,OR_WS_180102060405_05_107147,Keene Creek,460,5,155.8880481,0,1.80102E+11,107147,107147
6814,OR_WS_180102060406_05_107148,Lower Jenny Creek,460,5,117.2579259,0,1.80102E+11,107148,107148
6815,OR_WS_180102060501_05_107161,Camp Creek-Scotch Creek,460,5,138.6512547,0,1.80102E+11,107161,107161
6816,OR_WS_180102060502_05_107162,Fall Creek-Klamath River,460,5,45.11252796,0,1.80102E+11,107162,107162
6817,OR_WS_180102060601_05_107159,Upper Cottonwood Creek,460,5,102.1398607,0,1.80102E+11,107159,107159
6818,OR_WS_180102060602_05_107149,East Fork Cottonwood Creek,460,5,99.6913117,0,1.80102E+11,107149,107149
6819,OR_WS_180102060603_05_107160,Middle Cottonwood Creek,460,5,33.10010007,0,1.80102E+11,107160,107160
6820,OR_WS_180102060901_05_107158,Cow Creek-Grouse Creek,460,5,95.45837667,0,1.80102E+11,107158,107158
6821,OR_WS_180102060902_05_107150,Hungry Creek-Beaver Creek,460,5,2.448099799,0,1.80102E+11,107150,107150
6822,OR_WS_180102060903_05_107157,West Fork Beaver Creek,460,5,1.543808714,0,1.80102E+11,107157,107157
6823,OR_WS_180102090102_00_107154,Upper Indian Creek,460,5,2.620335607,0,1.80102E+11,107154,107154
6824,OR_WS_180102090103_00_107155,East Fork Indian Creek,460,5,6.309210682,0,1.80102E+11,107155,107155
6825,OR_WS_180102090201_00_107156,Thompson Creek,460,5,0.572753819,0,1.80102E+11,107156,107156
6826,OR_WS_180200010101_05_102678,Quartz Creek-Drews Creek,460,5,58.86268485,0,1.802E+11,102678,102678
6827,OR_WS_180200010102_05_102679,Dent Creek-Drews Creek,460,5,99.55203136,0,1.802E+11,102679,102679
6828,OR_WS_180200010103_05_102680,Hay Creek,460,5,105.5464754,0,1.802E+11,102680,102680
6829,OR_WS_180200010104_05_102681,Drews Reservoir,460,5,81.95311534,0,1.802E+11,102681,102681
6830,OR_WS_180200010105_05_102682,Drews Creek-Frontal Goose Lake,460,5,161.2847055,0,1.802E+11,102682,102682
6831,OR_WS_180200010201_05_102683,Upper Cox Creek,460,5,42.47874796,0,1.802E+11,102683,102683
6832,OR_WS_180200010202_05_102684,Bauers Creek,460,5,42.80987775,0,1.802E+11,102684,102684
6833,OR_WS_180200010203_05_102685,Lower Cox Creek,460,5,79.56563404,0,1.802E+11,102685,102685
6834,OR_WS_180200010204_05_102686,Auger Creek-Camp Creek,460,5,46.94254455,0,1.802E+11,102686,102686
6835,OR_WS_180200010205_05_102687,Upper Thomas Creek,460,5,85.84612307,0,1.802E+11,102687,102687
6836,OR_WS_180200010206_05_102688,Middle Thomas Creek,460,5,89.85321878,0,1.802E+11,102688,102688
6837,OR_WS_180200010207_05_102689,Upper Cottonwood Creek,460,5,66.50794879,0,1.802E+11,102689,102689
6838,OR_WS_180200010208_05_102690,Muddy Creek,460,5,42.05426901,0,1.802E+11,102690,102690
6839,OR_WS_180200010209_05_102691,Lower Cottonwood Creek,460,5,65.73352951,0,1.802E+11,102691,102691
6840,OR_WS_180200010210_05_102692,Lower Thomas Creek,460,5,71.47173711,0,1.802E+11,102692,102692
6841,OR_WS_180200010301_05_102693,Crane Creek-Frontal Goose Lake,460,5,50.45474814,0,1.802E+11,102693,102693
6842,OR_WS_180200010302_05_102694,Kelley Creek-Frontal Goose Lake,460,5,87.43631497,0,1.802E+11,102694,102694
6843,OR_WS_180200010303_05_102695,Cottonwood Creek-Frontal Goose Lake,460,5,14.19335779,0,1.802E+11,102695,102695
6844,OR_WS_180200010401_05_102696,Mill Creek-Frontal Goose Lake,460,5,45.12774099,0,1.802E+11,102696,102696
6845,OR_WS_180200010402_05_102698,Dry Creek,460,5,72.18124978,0,1.802E+11,102698,102698
6846,OR_WS_180200010403_05_102697,Corral Creek-Frontal Goose Lake,460,5,27.99629951,0,1.802E+11,102697,102697
6847,OR_LK_1707010109_02_100003,,390,2,0,0,1.70701E+11,100003,100003
6848,OR_LK_1707010109_14_100005,,390,14,0,0,1.70701E+11,100005,100005
6849,OR_LK_1707010114_05_100006,,390,5,0,0,1.70701E+11,100006,100006
6850,OR_LK_1707010114_05_100007,,390,5,0,0,1.70701E+11,100007,100007
6851,OR_LK_1707010114_05_100008,,390,5,0,0,1.70701E+11,100008,100008
6852,OR_LK_1707010306_05_100010,,390,5,0,0,1.70701E+11,100010,100010
6853,OR_LK_1707020301_05_100034,,390,5,0,0,1.70702E+11,100034,100034
6854,OR_LK_1707030101_05_100055,,390,5,0,0,1.70703E+11,100055,100055
6855,OR_LK_1707030101_05_100056,,390,5,0,0,1.70703E+11,100056,100056
6856,OR_LK_1707030101_05_100057,,390,5,0,0,1.70703E+11,100057,100057
6857,OR_LK_1707030101_05_100058,,390,5,0,0,1.70703E+11,100058,100058
6858,OR_LK_1707030101_05_100059,,390,5,0,0,1.70703E+11,100059,100059
6859,OR_LK_1707030101_05_100060,,390,5,0,0,1.70703E+11,100060,100060
6860,OR_LK_1707030102_05_100066,,390,5,0,0,1.70703E+11,100066,100066
6861,OR_LK_1707030102_05_100067,,390,5,0,0,1.70703E+11,100067,100067
6862,OR_LK_1707030102_05_100068,,390,5,0,0,1.70703E+11,100068,100068
6863,OR_LK_1707030107_05_100072,,390,5,0,0,1.70703E+11,100072,100072
6864,OR_LK_1707030108_05_100074,,390,5,0,0,1.70703E+11,100074,100074
6865,OR_LK_1707030108_05_100075,,390,5,0,0,1.70703E+11,100075,100075
6866,OR_LK_1707030108_05_100076,,390,5,0,0,1.70703E+11,100076,100076
6867,OR_LK_1707030109_05_100080,,390,5,0,0,1.70703E+11,100080,100080
6868,OR_LK_1707030202_05_100085,,390,5,0,0,1.70703E+11,100085,100085
6869,OR_LK_1707030202_05_100086,,390,5,0,0,1.70703E+11,100086,100086
6870,OR_LK_1707030303_05_100090,,390,5,0,0,1.70703E+11,100090,100090
6871,OR_LK_1707030508_05_100113,,390,5,0,0,1.70703E+11,100113,100113
6872,OR_LK_1707030510_05_100115,,390,5,0,0,1.70703E+11,100115,100115
6873,OR_LK_1707030510_05_100116,,390,5,0,0,1.70703E+11,100116,100116
6874,OR_LK_1707030609_05_100123,,390,5,0,0,1.70703E+11,100123,100123
6875,OR_LK_1710020101_1_0100154,,390,5,0,0,1.71002E+11,100154,100154
6876,OR_LK_1710020608_02_100173,,390,2,0,0,1.71002E+11,100173,100173
6877,OR_LK_1710020608_02_100174,,390,2,0,0,1.71002E+11,100174,100174
6878,OR_LK_1710020701_02_100179,,390,2,0,0,1.71002E+11,100179,100179
6879,OR_LK_1710020701_02_100180,,390,2,0,0,1.71002E+11,100180,100180
6880,OR_LK_1710030110_02_100187,,390,2,0,0,1.71003E+11,100187,100187
6881,OR_LK_1710030111_02_100192,,390,2,0,0,1.71003E+11,100192,100192
6882,OR_LK_1710030111_02_100193,,390,2,0,0,1.71003E+11,100193,100193
6883,OR_LK_1710030213_02_100197,Livingston Creek,390,2,0,0,1.71003E+11,100197,100197
6884,OR_LK_1710030213_02_100199,,390,2,0,0,1.71003E+11,100199,100199
6885,OR_LK_1710030303_02_100202,,390,2,0,0,1.71003E+11,100202,100202
6886,OR_LK_1710030403_02_100212,,390,2,0,0,1.71003E+11,100212,100212
6887,OR_LK_1710030403_02_100213,,390,2,0,0,1.71003E+11,100213,100213
6888,OR_LK_1710030403_02_100214,,390,2,0,0,1.71003E+11,100214,100214
6889,OR_LK_1710030403_02_100215,,390,2,0,0,1.71003E+11,100215,100215
6890,OR_LK_1710030403_02_100216,,390,2,0,0,1.71003E+11,100216,100216
6891,OR_LK_1710030403_02_100217,,390,2,0,0,1.71003E+11,100217,100217
6892,OR_LK_1710030403_02_100218,,390,2,0,0,1.71003E+11,100218,100218
6893,OR_LK_1710030505_02_100227,,390,2,0,0,1.71003E+11,100227,100227
6894,OR_LK_1710030505_02_100228,,390,2,0,0,1.71003E+11,100228,100228
6895,OR_LK_1710030505_02_100229,,390,2,0,0,1.71003E+11,100229,100229
