AU_ID,ben_use_code
OR_SR_1710030209_02_104762,2
OR_WS_170703020102_05_102334,5
OR_WS_170702030207_05_102162,5
OR_WS_171002060803_02_106438,2
OR_WS_171200060404_05_106752,5
OR_SR_1710030205_02_105399,2
OR_WS_170703010305_05_102285,5
OR_LK_1710030901_02_100274,2
OR_WS_171003110201_02_104880,2
OR_SR_1707030103_05_101713,5
OR_SR_1709000106_02_103722,2
OR_WS_180102030105_05_107092,5
OR_SR_1709001101_02_104142,2
OR_SR_1708000101_02_103596,2
OR_SR_1705011607_05_102752,5
OR_SR_1709000204_02_103786,2
OR_SR_1710030604_02_104635,2
OR_SR_1709001203_02_104176,2
OR_WS_170703010101_05_102266,5
OR_WS_170900100501_02_104512,2
OR_CL_1710030405_105041,3
OR_WS_170900030103_02_104245,2
OR_WS_170900110201_02_104523,2
OR_SR_1707020302_05_101622,5
OR_SR_1710030604_02_104634,2
OR_SR_1712000205_05_106470,5
OR_SR_1710030502_02_104966,2
OR_SR_1710031204_02_104658,2
OR_WS_170702020402_05_102104,5
OR_WS_170900070204_02_104412,2
OR_EB_1710020607_01_107221,1
OR_SR_1710030502_02_106302,2
OR_LK_1707030609_05_100125,5
OR_SR_1710031004_04_104821,4
OR_WS_170501100704_05_102963,5
OR_SR_1709001106_02_104169,2
OR_SR_1710030601_02_104996,2
OR_SR_1710030204_02_105392,2
OR_SR_1706010403_02_103316,2
OR_WS_171003070104_02_105714,2
OR_SR_1709000306_02_103839,2
OR_SR_1709000109_02_103747,2
OR_SR_1710030205_02_105394,2
OR_EB_1710030505_01_107209,2
OR_WS_170703060201_05_102503,5
OR_WS_170703010109_05_102274,5
OR_SR_1710030502_02_104609,2
OR_SR_1707030203_05_101720,5
OR_SR_1707030202_05_101719,5
OR_SR_1707010301_02_101470,2
OR_SR_1707030110_05_102624,5
OR_WS_170501170603_05_103065,5
OR_SR_1707020208_05_101607,5
OR_WS_171003060104_02_106331,2
OR_SR_1709000502_02_103899,2
OR_WS_170900110204_02_104526,2
OR_WS_170701051106_02_102614,2
OR_WS_170900030601_02_104287,2
OR_LK_1709000701_02_100781,2
OR_WS_171003060102_02_104668,2
OR_EB_1710020308_01_100298,1
OR_WS_170900040105_02_104304,2
OR_SR_1709000102_02_103715,2
OR_SR_1709000203_02_104585,2
OR_SR_1707010506_02_101511,2
OR_WS_171003120302_02_104689,2
OR_WS_170900060205_02_104371,2
OR_SR_1710030205_02_105397,2
OR_SR_1706010401_02_103308,2
OR_WS_170703040306_05_102587,5
OR_SR_1710030504_02_104981,2
OR_WS_171003010702_02_105651,2
OR_SR_1707020207_05_101598,5
OR_SR_1710030601_02_106304,2
OR_SR_1710020302_05_105869,5
OR_WS_170701050306_02_101989,2
OR_WS_170703020101_05_102333,5
OR_WS_170702020306_05_102102,5
OR_WS_180102020406_05_107059,5
OR_SR_1710020204_05_105835,5
OR_WS_170701050701_02_102005,2
OR_WS_171003120502_02_104695,2
OR_SR_1710030706_02_105492,2
OR_SR_1710030211_02_105320,2
OR_SR_1710020502_02_106021,2
OR_WS_170703030901_05_102406,5
OR_SR_1710030107_02_105337,2
OR_SR_1707030501_02_101787,2
OR_SR_1801020106_05_106967,5
OR_WS_171003120103_02_106324,2
OR_SR_1710030202_02_105379,2
OR_SR_1705010804_02_102719,5
OR_WS_170703010911_05_102321,5
OR_SR_1707020302_05_101618,5
OR_SR_1707010207_05_101461,5
OR_WS_171200060202_05_106746,5
OR_WS_170703030703_05_102401,5
OR_WS_170701030301_02_101891,99
OR_WS_170703050204_05_102455,5
OR_SR_1709000602_02_103948,2
OR_WS_170900040205_02_104309,2
OR_WS_170900010106_02_104190,2
OR_SR_1706010402_02_103315,2
OR_SR_1710030205_02_106333,2
OR_WS_171003070807_02_105753,2
OR_SR_1707010303_02_101479,2
OR_WS_170900100504_02_104515,2
OR_EB_1710030505_01_100284,1
OR_WS_171003070109_02_105800,2
OR_WS_170501160203_05_102978,5
OR_SR_1710030204_02_105390,2
OR_WS_171200010105_05_106514,5
OR_SR_1710030304_02_105151,2
OR_WS_170601040904_02_103472,2
OR_SR_1712000207_05_106473,5
OR_LK_1710030801_02_100257,2
OR_SR_1710020304_05_105898,5
OR_SR_1707010507_02_101512,2
OR_WS_180200010207_05_102689,5
OR_SR_1705020302_05_102815,5
OR_LK_1801020604_05_100491,5
OR_SR_1709001201_02_104171,2
OR_SR_1707030111_02_101718,2
OR_SR_1709000108_02_103730,2
OR_SR_1707030609_05_101821,5
OR_SR_1709000109_02_103735,2
OR_WS_171003010706_02_105654,2
OR_WS_170703010707_05_102302,5
OR_SR_1710020304_05_105901,5
OR_WS_171002030403_05_106111,5
OR_WS_170702020803_05_102134,5
OR_SR_1710020507_02_106061,2
OR_SR_1710030404_02_104955,2
OR_WS_170702030205_05_102160,5
OR_SR_1709000306_05_103854,5
OR_SR_1705020208_05_102810,5
OR_SR_1709000601_02_103935,2
OR_WS_170702020201_05_102092,5
OR_SR_1710030301_02_105442,2
OR_WS_170502020804_05_103145,5
OR_WS_180102041202_05_107133,5
OR_WS_171002060804_02_106406,2
OR_WS_180102010103_05_107012,5
OR_WS_171003070204_02_105825,2
OR_SR_1709001004_02_104137,2
OR_SR_1710030601_02_104615,2
OR_SR_1709000602_02_103949,2
OR_SR_1710020303_05_105885,5
OR_WS_170502031004_05_103207,5
OR_SR_1709000701_05_104005,5
OR_LK_1801020303_05_100375,5
OR_SR_1709000604_02_103969,2
OR_SR_1710030202_02_105376,2
OR_SR_1706010202_02_103292,2
OR_WS_170703010702_05_102298,5
OR_SR_1710020502_02_106024,2
OR_WS_170900040402_02_104323,2
OR_SR_1707020206_05_101588,5
OR_WS_170900050301_02_104351,2
OR_WS_170900090204_02_104467,2
OR_SR_1709000105_02_104579,2
OR_WS_171200051405_05_106713,5
OR_WS_170601041001_02_103474,2
OR_SR_1710030902_02_105599,2
OR_EB_1710020506_01_100291,1
OR_WS_171200020501_05_106567,5
OR_SR_1710030801_02_105545,2
OR_SR_1710030305_02_105158,2
OR_EB_1710020408_01_100294,1
